clientid,name,Publisher taxonomyid,Publisher taxonomytext,globaltaxonomyid,Global taxonomytext,dist,,total:,673,,accurate:,423,,near:,123,,far:,127
303,OfficeDepot,3131614,Technology|Computer & Tablet Accessories|Laptop Bags|Laptop Bags,153434,Luggage & Bags|Business Bags|Electronics Bags & Cases|Laptop Bags & Cases,,,,,,,,,,,,,
303,OfficeDepot,3131640,Technology|Computer & Tablet Accessories|Laptop Bags|Laptop Sleeves & Skins,153434,Luggage & Bags|Business Bags|Electronics Bags & Cases|Laptop Bags & Cases,near,,,,,,,,,,,,
303,OfficeDepot,3131615,Technology|Computer & Tablet Accessories|Laptop Bags|Rolling Laptop Bags,153434,Luggage & Bags|Business Bags|Electronics Bags & Cases|Laptop Bags & Cases,,,,,,,,,,,,,
303,OfficeDepot,3131724,Technology|Smart Home|Smart Lighting,153351,Home & Garden|Lighting,,,,,,,,,,,,,
303,OfficeDepot,3131725,Technology|Smart Home|Smart Lighting|Smart Lighting,153351,Home & Garden|Lighting,,,,,,,,,,,,,
303,OfficeDepot,3130257,Breakroom|Appliances|Blenders & Food Processors,153063,Home & Garden|Kitchen & Dining|Kitchen Appliances,far,,,,,,,,,,,no attention needed,0.628528975
303,OfficeDepot,3130258,Breakroom|Appliances|Blenders & Food Processors|Blenders & Food Processors,153063,Home & Garden|Kitchen & Dining|Kitchen Appliances,far,,,,,,,,,,,close,0.811292719
303,OfficeDepot,3131721,Technology|Smart Home,152822,Home & Garden|Household Appliances|Home Automation,,,,,,,,,,,,,
303,OfficeDepot,3130255,Breakroom|Appliances|Air Purifiers & Filters,152806,Home & Garden|Household Appliances|Climate Control|Air Purifiers,,,,,,,,,,,,,
303,OfficeDepot,3130256,Breakroom|Appliances|Air Purifiers & Filters|Air Purifiers & Filters,152806,Home & Garden|Household Appliances|Climate Control|Air Purifiers,,,,,,,,,,,,,
303,OfficeDepot,3131351,Breakroom|Appliances|Air Conditioners,152805,Home & Garden|Household Appliances|Climate Control|Air Conditioners,,,,,,,,,,,,,
303,OfficeDepot,3131352,Breakroom|Appliances|Air Conditioners|Air Conditioners,152805,Home & Garden|Household Appliances|Climate Control|Air Conditioners,,,,,,,,,,,,,
303,OfficeDepot,3130254,Breakroom|Appliances,152803,Home & Garden|Household Appliances,,,,,,,,,,,,,
303,OfficeDepot,3131800,Technology|Smart Home|Smart Sensors,152761,Home & Garden|Home Security|Security System Sensors,,,,,,,,,,,,,
303,OfficeDepot,3131801,Technology|Smart Home|Smart Sensors|Smart Sensors,152761,Home & Garden|Home Security|Security System Sensors,,,,,,,,,,,,,
303,OfficeDepot,3131728,Technology|Smart Home|Smart Security Systems,152760,Home & Garden|Home Security|Security Monitors & Recorders,near,,,,,,,,,,,,
303,OfficeDepot,3131729,Technology|Smart Home|Smart Security Systems|Smart Security Systems,152760,Home & Garden|Home Security|Security Monitors & Recorders,near,,,,,,,,,,,,
303,OfficeDepot,3131722,Technology|Smart Home|Smart Alarms,152756,Home & Garden|Home Security|Home Alarm Systems,near,,,,,,,,,,,,
303,OfficeDepot,3131723,Technology|Smart Home|Smart Alarms|Smart Alarms,152756,Home & Garden|Home Security|Home Alarm Systems,near,,,,,,,,,,,,
303,OfficeDepot,3129643,Technology|Smart Home|Dummy Cameras,152755,Home & Garden|Home Security|Dummy Surveillance Cameras,,,,,,,,,,,,,
303,OfficeDepot,3129644,Technology|Smart Home|Dummy Cameras|Dummy Cameras,152755,Home & Garden|Home Security|Dummy Surveillance Cameras,,,,,,,,,,,,,
303,OfficeDepot,3129949,Technology|Cameras & Camcorders|Digital Picture Frames,152698,Home & Garden|Decor|Picture Frames|Digital Picture Frames,,,,,,,,,,,,,
303,OfficeDepot,3129950,Technology|Cameras & Camcorders|Digital Picture Frames|Digital Picture Frames,152698,Home & Garden|Decor|Picture Frames|Digital Picture Frames,,,,,,,,,,,,,
303,OfficeDepot,3130722,Technology|Wearable Technology|Pedometers,152428,Health & Beauty|Health Care|Biometric Monitors|Pedometers,,,,,,,,,,,,,
303,OfficeDepot,3130723,Technology|Wearable Technology|Pedometers|Pedometers,152428,Health & Beauty|Health Care|Biometric Monitors|Pedometers,,,,,,,,,,,,,
303,OfficeDepot,3131254,Technology|Wearable Technology|Heart Rate Monitors,152426,Health & Beauty|Health Care|Biometric Monitors|Heart Rate Monitors,,,,,,,,,,,,,
303,OfficeDepot,3131255,Technology|Wearable Technology|Heart Rate Monitors|Heart Rate Monitors,152426,Health & Beauty|Health Care|Biometric Monitors|Heart Rate Monitors,,,,,,,,,,,,,
303,OfficeDepot,3130752,Technology|Wearable Technology|Fitness Bands,152418,Health & Beauty|Health Care|Biometric Monitors,far,,,,,,,,,,,unacceptable,0.188707281
303,OfficeDepot,3130753,Technology|Wearable Technology|Fitness Bands|Fitness Bands,152418,Health & Beauty|Health Care|Biometric Monitors,far,,,,,,,,,,,,
303,OfficeDepot,3131791,Technology|Smart Home|Smart Thermostats,152011,Hardware|Hardware Accessories|Controls|Thermostats,,,,,,,,,,,,,
303,OfficeDepot,3131792,Technology|Smart Home|Smart Thermostats|Smart Thermostats,152011,Hardware|Hardware Accessories|Controls|Thermostats,,,,,,,,,,,,,
303,OfficeDepot,3131726,Technology|Smart Home|Smart Outlets,151985,Hardware|Electrical Supplies|Wall Sockets,far,,,,,,,,,,,,
303,OfficeDepot,3131727,Technology|Smart Home|Smart Outlets|Smart Outlets,151985,Hardware|Electrical Supplies|Wall Sockets,far,,,,,,,,,,,,
303,OfficeDepot,3131818,Technology|Smart Home|Smart Switches,151982,Hardware|Electrical Supplies|Light Switches,,,,,,,,,,,,,
303,OfficeDepot,3131819,Technology|Smart Home|Smart Switches|Smart Switches,151982,Hardware|Electrical Supplies|Light Switches,,,,,,,,,,,,,
303,OfficeDepot,3129978,Technology|Computer & Tablet Accessories|Power & Surge Protectors|Extension Cords,151980,Hardware|Electrical Supplies|Extension Cords,,,,,,,,,,,,,
303,OfficeDepot,3130648,Technology|Gaming Systems|Wii,151590,Electronics|Video Game Consoles|Home Game Consoles|Wii Consoles,,,,,,,,,,,,,
303,OfficeDepot,3131230,Technology|Gaming Systems|PlayStation,151578,Electronics|Video Game Consoles|Home Game Consoles,far,,,,,,,,,,,,
303,OfficeDepot,3130652,Technology|Gaming Systems|Xbox,151578,Electronics|Video Game Consoles|Home Game Consoles,far,,,,,,,,,,,,
303,OfficeDepot,3130645,Technology|Gaming Systems,151577,Electronics|Video Game Consoles,far,,,,,,,,,,,,
303,OfficeDepot,3130649,Technology|Gaming Systems|Nintendo,151577,Electronics|Video Game Consoles,far,,,,,,,,,,,,
303,OfficeDepot,3130650,Technology|Gaming Systems|Nintendo|DS Accessories,151573,Electronics|Video Game Console Accessories|Portable Game Console Accessories|Nintendo DS Accessories,,,,,,,,,,,,,
303,OfficeDepot,3130847,Technology|Gaming Systems|Wii|Wii Accessories,151562,Electronics|Video Game Console Accessories|Home Game Console Accessories|Wii Accessories,,,,,,,,,,,,,
303,OfficeDepot,3130653,Technology|Gaming Systems|Xbox|Xbox Accessories,151549,Electronics|Video Game Console Accessories|Home Game Console Accessories|All XBox Accessories,,,,,,,,,,,,,
303,OfficeDepot,3131256,Technology|Gaming Systems|PlayStation|PlayStation Accessories,151545,Electronics|Video Game Console Accessories|Home Game Console Accessories|All PlayStation Accessories,,,,,,,,,,,,,
303,OfficeDepot,3130179,Technology|TVs & Home Theater|Media Streaming Devices,151538,Electronics|Video|Video Players & Recorders|Home Media Players,far,,,,,,,,,,,,
303,OfficeDepot,3130180,Technology|TVs & Home Theater|Media Streaming Devices|Media Streaming Devices,151538,Electronics|Video|Video Players & Recorders|Home Media Players,far,,,,,,,,,,,,
303,OfficeDepot,3129896,Technology|TVs & Home Theater|Video Equipment|Video Recorders,151537,Electronics|Video|Video Players & Recorders|Digital Video Recorders,,,,,,,,,,,,,
303,OfficeDepot,3130850,Technology|TVs & Home Theater|Video Equipment|DVD & Blu-Ray Players,151531,Electronics|Video|Video Players & Recorders|DVD Players,,,,,,,,,,,,,
303,OfficeDepot,3131258,Technology|TVs & Home Theater|Video Equipment|Portable DVD Players,151531,Electronics|Video|Video Players & Recorders|DVD Players,,,,,,,,,,,,,
303,OfficeDepot,3129895,Technology|TVs & Home Theater|Video Equipment,151530,Electronics|Video|Video Players & Recorders,,,,,,,,,,,,,
303,OfficeDepot,3131234,Technology|Monitors|Monitor Mounts & Arms,151525,Electronics|Video|Video Accessories|Television Accessories|TV & Monitor Mounts,,,,,,,,,,,,,
303,OfficeDepot,3131235,Technology|Monitors|Monitor Stands,151525,Electronics|Video|Video Accessories|Television Accessories|TV & Monitor Mounts,near,,,,,,,,,,,,
303,OfficeDepot,3129892,Technology|TVs & Home Theater|Television & Video Accessories|Wall & Ceiling Mounting Brackets,151525,Electronics|Video|Video Accessories|Television Accessories|TV & Monitor Mounts,far,,,,,,,,,,,,
303,OfficeDepot,3130565,Technology|TVs & Home Theater|Television & Video Accessories|TV Tuners,151524,Electronics|Video|Video Accessories|Television Accessories,far,,,,,,,,,,,,
303,OfficeDepot,3129708,Technology|Office Machines|Projector Accessories|Projector Lamps,151522,Electronics|Video|Video Accessories|Projector Accessories|Projector Replacement Lamps,,,,,,,,,,,,,
303,OfficeDepot,3129709,Technology|Office Machines|Projector Accessories|Projector Mounts,151521,Electronics|Video|Video Accessories|Projector Accessories|Projector Mounts,,,,,,,,,,,,,
303,OfficeDepot,3129712,Technology|Office Machines|Projector Accessories|Projector Screens,151520,Electronics|Video|Video Accessories|Projector Accessories|Projection Screens,,,,,,,,,,,,,
303,OfficeDepot,3129706,Technology|Office Machines|Projector Accessories,151517,Electronics|Video|Video Accessories|Projector Accessories,,,,,,,,,,,,,
